baseline_method,paired_count,mean_improvement_percent,median_improvement_percent,p25_improvement_percent,p75_improvement_percent
RSSI,52963,96.84647729012835,98.20991795899229,96.61196519598849,99.05384155537212
TDOA,52963,-3838.3072034424504,-1843.8250813121622,-3866.0246805776464,-876.459583103321
DOA,52963,83.89813487081598,91.16072190403706,83.46325035589352,95.1765915323467
Best Conventional,52963,-3838.3360425705914,-1843.9637399563821,-3866.0246805776464,-876.5228092755856
