method,row_count,successful_count,success_rate,mean_error_m,median_error_m,rmse_error_m,std_error_m,p75_error_m,p90_error_m,p95_error_m,max_error_m
RSSI,54410,52963,0.9734056239661827,1609633003.1252382,1568491179.2813826,1748727495.5279074,683475141.4297048,1848680037.241383,2409087289.4099574,2805894667.348138,4454322374.36526
TDOA,54410,52963,0.9734056239661827,0.0952969038926502,0.07181328484783868,0.13085601597022242,0.08967691377919132,0.12316801528517865,0.19086712722394136,0.24925879517580066,1.7405359859754046
DOA,54410,54408,0.9999632420510935,21.554942891320124,15.956297468691172,115.55928189710917,113.53223760366288,25.754423442925436,38.7044848058741,49.714007411435546,22974.512272473257
ML,54410,54410,1.0,10.893941823694346,9.231529362882403,13.3592128085848,7.7325091216950055,14.225279630556157,20.418527740243476,25.239461425838453,82.99069159675945
