comparison,paired_count,baseline_mean_error_m,ml_mean_error_m,mean_error_reduction_m,mean_error_reduction_ci95_low_m,mean_error_reduction_ci95_high_m,median_error_reduction_m,median_error_reduction_ci95_low_m,median_error_reduction_ci95_high_m,wilcoxon_p_value
ML vs RSSI,52963,95.8606853585787,1.7038852145409682,94.15680014403773,93.52034465652636,94.86205658635828,77.67014214289138,77.07619833635661,78.32518449297683,0.0
ML vs TDOA,52963,0.0952969038926502,1.7038852145409682,-1.608588310648318,-1.6202095573613278,-1.5974864242267095,-1.3214061002119304,-1.3306842690393696,-1.3118392309667444,0.0
ML vs DOA,52963,19.41252194429559,1.7038852145409682,17.708636729754623,17.586097739171162,17.841100401918343,14.342111720040952,14.198750446475934,14.468301074178852,0.0
ML vs Best Conventional,52963,0.09529397429765105,1.7038852145409682,-1.608591240243317,-1.620226030398029,-1.5971193920591809,-1.3214061002119304,-1.330629500918225,-1.311637881489948,0.0
