condition,condition_value,method,row_count,successful_count,success_rate,mean_error_m,median_error_m,rmse_error_m,std_error_m,p75_error_m,p90_error_m,p95_error_m,max_error_m
env_type,indoor,RSSI,556493,556493,1.0,90.04670506067964,76.59421767484238,123.50934529747965,84.53497574939169,118.52850707426138,167.78667600304576,202.70532581391547,19624.77561866731
env_type,indoor,TDOA,556493,556493,1.0,0.09356824841808023,0.07217705814241861,0.12715308825058116,0.08609822332883753,0.12159731824189668,0.18559203063276436,0.23805659309541527,2.267963427413749
env_type,indoor,DOA,556493,556493,1.0,22.913527257579222,19.381455484091564,27.88017722209483,15.883167312650428,29.74932119184904,42.879373048490564,53.24734475981513,297.58225173408556
env_type,outdoor,RSSI,98378,80963,0.8229787147532985,121.60180461449531,102.17934460436221,154.65925556398207,95.56463386508541,159.88951083332108,229.01872829867125,280.65152832412565,6073.573415688641
env_type,outdoor,TDOA,98378,80936,0.8227042631482648,0.09931141669226837,0.06440041732744423,0.14628423310886057,0.1074079229335548,0.12299778545054951,0.21809742849231528,0.3062152947487129,1.4382075447753402
env_type,outdoor,DOA,98378,98376,0.9999796702514789,20.821481294138465,9.559451165015698,659.3956774171508,659.0702092761661,16.374366220939944,27.454186795515454,41.041540010946534,200003.38381900737
obstruction_severity,high,RSSI,323398,320299,0.9904173804414375,94.64843659352093,81.4574188953981,125.70995540838248,82.73262783727807,124.26577868101275,173.9953245715478,209.35978691249116,16920.405407122365
obstruction_severity,high,TDOA,323398,320298,0.9904142882763654,0.10265925902135774,0.07623865120982358,0.14314458667128424,0.09975710651337631,0.13251595716014677,0.20875036675803577,0.27299885891280734,2.267963427413749
obstruction_severity,high,DOA,323398,323398,1.0,27.594739391477997,23.47999535416357,42.005517151590674,31.67012678410155,35.55572353778052,50.32325341808356,61.54613315181569,12566.244763568624
obstruction_severity,low,RSSI,331362,317157,0.9571314755463813,93.4546875959478,77.06056527407463,130.0486458335634,90.43725691137276,122.28830208187514,178.42665438502388,220.2056216416072,19624.77561866731
obstruction_severity,low,TDOA,331362,317131,0.9570530115100706,0.0858521833006086,0.06694942131887122,0.11461823677777142,0.0759391928369303,0.11196023498750499,0.1688443170119949,0.21523100990773306,1.8086750876555113
obstruction_severity,low,DOA,331362,331360,0.9999939643048992,17.72941642433672,13.65265464581826,358.7059676155744,358.2680928544094,21.168059868335092,29.7449013980834,36.30108361530201,200003.38381900737
obstruction_severity,none,RSSI,111,0,0.0,,,,0.0,,,,
obstruction_severity,none,TDOA,111,0,0.0,,,,0.0,,,,
obstruction_severity,none,DOA,111,111,1.0,5.843350007061244,5.6333881812440625,6.842543647797288,3.5764364356865674,8.104978129924724,10.305238126762012,12.73604539450679,15.626238000678203
