method,row_count,successful_count,success_rate,mean_error_m,median_error_m,rmse_error_m,std_error_m,p75_error_m,p90_error_m,p95_error_m,max_error_m
RSSI,654871,637456,0.9734069763357974,94.05450406982783,79.24834868965183,127.88700814884541,86.65361444764498,123.34159550558728,176.11510572632392,214.7032030969978,19624.77561866731
TDOA,654871,637429,0.9733657468417444,0.09429747326891018,0.0712573746334554,0.12973867132834113,0.08910736125384294,0.12174287063716857,0.1887862216868239,0.2455988089791792,2.267963427413749
DOA,654871,654869,0.9999969459634035,22.59925506924927,17.79638041590317,256.8611288547348,255.86522459387876,28.261319213192987,41.58994625602535,52.475522422845586,200003.38381900737
