condition,condition_value,method,row_count,successful_count,success_rate,mean_error_m,median_error_m,rmse_error_m,std_error_m,p75_error_m,p90_error_m,p95_error_m,max_error_m
env_type,indoor,RSSI,38986,38986,1.0,1814935503.8061733,1694372415.1522255,1920283266.591044,627301390.4979695,1968226999.3137507,2542737924.257721,3072316534.1442637,4454322374.36526
env_type,indoor,TDOA,38986,38986,1.0,0.0966773259380507,0.07557029328137346,0.1297810234244085,0.08658406888827719,0.1255732406654151,0.18961159511224257,0.24308248178056693,1.7405359859754046
env_type,indoor,DOA,38986,38986,1.0,22.24658554895213,18.692486397074568,27.238670009051056,15.71753517356289,28.690028681244556,41.55420981404325,52.137943495373506,187.23113401740497
env_type,indoor,ML,38986,38986,1.0,1.5887175527868365,1.3390234311918023,2.0232084303795634,1.2527526273865244,1.963975478618135,2.725476765929987,3.534911289408062,26.90816388114691
env_type,outdoor,RSSI,13977,13977,1.0,1036983415.1201622,1095703813.6985154,1141206826.315251,476481542.81293005,1295518117.277148,1420805142.521696,1730379864.3104458,2703565699.8929834
env_type,outdoor,TDOA,13977,13977,1.0,0.09144649723442712,0.06087889390670253,0.13380885652061947,0.09768843838279392,0.11404556342419563,0.19491952796126083,0.27324046197880497,1.2454387082172884
env_type,outdoor,DOA,13977,13977,1.0,11.507477679350343,9.445328358251444,14.165457477945322,8.260933696734464,15.101828813963266,22.53398326975954,28.176779760966358,72.57436398966871
env_type,outdoor,ML,13977,13977,1.0,2.213329999465718,1.6779173001900656,2.895312551312448,1.8666157526668117,2.6859905092628154,4.602830619543248,6.064000101406389,25.115821722616914
obstruction_severity,high,RSSI,26403,26403,1.0,1807609604.0954127,1682382272.9481297,1895271954.023786,569750466.028116,1906127703.8487053,2487625554.4385405,2821373720.457873,4439555379.488244
obstruction_severity,high,TDOA,26403,26403,1.0,0.10347039167471159,0.07808932312637623,0.14194642509196104,0.09717521954029093,0.13399424791551617,0.20846792872582962,0.2734861782960194,1.7405359859754046
obstruction_severity,high,DOA,26403,26403,1.0,25.38473801313792,21.717606805417137,30.619892621782483,17.1232007850235,33.01986857602712,47.06690153725842,58.00675653890608,187.23113401740497
obstruction_severity,high,ML,26403,26403,1.0,1.6571213902603084,1.3759338365207727,2.130589787604307,1.3391898544273149,2.0238659862377553,2.876060344090425,3.8520593950317576,26.90816388114691
obstruction_severity,low,RSSI,26560,26560,1.0,1412826670.4665213,1356633856.9833524,1589715863.158753,728791686.5862371,1771578533.4915006,2205908338.567845,2784571063.038423,4454322374.36526
obstruction_severity,low,TDOA,26560,26560,1.0,0.08717173077857768,0.06628822724897707,0.11880947078261477,0.08072809344108176,0.11300238373165544,0.17366843130780824,0.22358232839478745,1.2454387082172884
obstruction_severity,low,DOA,26560,26560,1.0,13.475608508089122,11.560483322615216,16.205608388649477,9.001820344550868,18.11438623552212,25.480670520498474,30.65448504785904,144.9373238411031
obstruction_severity,low,ML,26560,26560,1.0,1.849415656944165,1.456834737685008,2.430486735016751,1.5770292117732323,2.216578789157025,3.46722480843407,4.95823299437265,25.115821722616914
